Date,Adj Close**,SPRTRN,RF
3-Jun-20,"3,122.87",-0.003374383,0.76
4-Jun-20,"3,112.35",0.025874066,0.82
5-Jun-20,"3,193.93",0.011969668,0.9
8-Jun-20,"3,232.39",-0.007829755,0.88
9-Jun-20,"3,207.18",-0.005327243,0.83
10-Jun-20,"3,190.14",-0.060752759,0.75
11-Jun-20,"3,002.10",0.0129763,0.65
12-Jun-20,"3,041.31",0.008277851,0.7
15-Jun-20,"3,066.59",0.018784885,0.7
16-Jun-20,"3,124.74",-0.003606796,0.76
17-Jun-20,"3,113.49",0.000594012,0.73
18-Jun-20,"3,115.34",-0.005665482,0.69
19-Jun-20,"3,097.74",0.006474056,0.7
22-Jun-20,"3,117.86",0.004298191,0.7
23-Jun-20,"3,131.29",-0.026195279,0.71
24-Jun-20,"3,050.33",0.01089985,0.68
25-Jun-20,"3,083.76",-0.024525217,0.67
26-Jun-20,"3,009.05",0.014578908,0.64
29-Jun-20,"3,053.24",0.015292334,0.64
30-Jun-20,"3,100.29",0.005009542,0.65
1-Jul-20,"3,115.86",0.004531002,0.68
2-Jul-20,"3,130.01",0.015756943,0.67
6-Jul-20,"3,179.72",-0.010877509,0.68
7-Jul-20,"3,145.32",0.007797026,0.65
8-Jul-20,"3,169.94",-0.005659625,0.65
9-Jul-20,"3,152.05",0.010411813,0.61
10-Jul-20,"3,185.04",-0.009406624,0.63
13-Jul-20,"3,155.22",0.013317285,0.64
14-Jul-20,"3,197.52",0.009041045,0.62
15-Jul-20,"3,226.56",-0.003411918,0.63
16-Jul-20,"3,215.57",0.00284459,0.61
17-Jul-20,"3,224.73",0.008371764,0.63
20-Jul-20,"3,251.84",0.001677641,0.62
21-Jul-20,"3,257.30",0.00573064,0.61
22-Jul-20,"3,276.02",-0.012396345,0.6
23-Jul-20,"3,235.66",-0.006209631,0.58
24-Jul-20,"3,215.63",0.00736792,0.59
27-Jul-20,"3,239.41",-0.006494444,0.61
28-Jul-20,"3,218.44",0.012351783,0.58
29-Jul-20,"3,258.44",-0.003757311,0.58
30-Jul-20,"3,246.22",0.007641191,0.54
31-Jul-20,"3,271.12",0.007155366,0.54
3-Aug-20,"3,294.61",0.003605453,0.56
4-Aug-20,"3,306.51",0.006409158,0.52
5-Aug-20,"3,327.77",0.006407158,0.54
